order_id,customer_id,product_id,quantity,discount_pct,order_date,year,month,month_name,day_name,quarter,product_name,category,unit_price,unit_cost,age,gender,city,age_group,tenure_years,gross_revenue,discount_amt,net_revenue,cost,profit,profit_margin,discount_bucket,high_value_flag,high_quantity_flag,extreme_discount_flag,customer_spending_anomaly_flag,risk_score,risk_category
1001,210,312,3,0,2024-05-26,2024,5,May,Sunday,2,Product_312,Home & Kitchen,1732.47,906.62,28,Female,Mumbai,25-34,3.6,5197.41,0.0,5197.41,2719.86,2477.55,47.67,No Discount,0,0,0,0,0,Low
1002,210,305,3,0,2024-05-27,2024,5,May,Monday,2,Product_305,Sports,873.81,414.24,28,Female,Mumbai,25-34,3.6,2621.43,0.0,2621.43,1242.72,1378.7099999999998,52.59,No Discount,0,0,0,0,0,Low
1003,219,302,5,10,2024-12-17,2024,12,Dec,Tuesday,4,Product_302,Books,2257.6,1176.55,41,Female,Kolkata,35-44,2.6,11288.0,1128.8,10159.2,5882.75,4276.450000000001,42.09,10%,0,0,0,0,0,Low
1004,246,316,5,5,2024-07-17,2024,7,Jul,Wednesday,3,Product_316,Books,3554.45,2147.64,31,Female,Bengaluru,25-34,0.6,17772.25,888.6125,16883.6375,10738.2,6145.437500000002,36.4,5%,1,0,0,1,65,High
1005,234,305,1,20,2024-11-03,2024,11,Nov,Sunday,4,Product_305,Sports,873.81,414.24,32,Female,Kolkata,25-34,0.4,873.81,174.76199999999997,699.048,414.24,284.808,40.74,20%,0,0,1,0,15,Low
1006,233,315,4,0,2024-05-07,2024,5,May,Tuesday,2,Product_315,Sports,2578.7,1522.22,33,Male,Chennai,25-34,3.0,10314.8,0.0,10314.8,6088.88,4225.919999999999,40.97,No Discount,0,0,0,0,0,Low
1007,223,312,3,0,2024-02-08,2024,2,Feb,Thursday,1,Product_312,Home & Kitchen,1732.47,906.62,19,Male,Ahmedabad,18-24,2.6,5197.41,0.0,5197.41,2719.86,2477.55,47.67,No Discount,0,0,0,0,0,Low
1008,228,304,4,5,2024-12-03,2024,12,Dec,Tuesday,4,Product_304,Home & Kitchen,1824.42,868.74,61,Female,Hyderabad,45+,4.7,7297.68,364.884,6932.796,3474.96,3457.836,49.88,5%,0,0,0,0,0,Low
1009,232,315,5,0,2024-12-25,2024,12,Dec,Wednesday,4,Product_315,Sports,2578.7,1522.22,45,Female,Mumbai,45+,4.4,12893.5,0.0,12893.5,7611.1,5282.4,40.97,No Discount,0,0,0,1,35,Medium
1010,250,311,5,0,2024-05-08,2024,5,May,Wednesday,2,Product_311,Books,1957.07,1356.22,37,Female,Bengaluru,35-44,2.1,9785.35,0.0,9785.35,6781.1,3004.25,30.7,No Discount,0,0,0,1,35,Medium
1011,207,316,5,0,2024-09-23,2024,9,Sep,Monday,3,Product_316,Books,3554.45,2147.64,56,Female,Hyderabad,45+,0.1,17772.25,0.0,17772.25,10738.2,7034.050000000001,39.58,No Discount,1,0,0,1,65,High
1012,229,306,4,5,2024-05-30,2024,5,May,Thursday,2,Product_306,Fashion,1974.6,1202.32,42,Female,Delhi,35-44,0.2,7898.4,394.92,7503.48,4809.28,2694.2,35.91,5%,0,0,0,0,0,Low
1013,208,314,5,0,2024-10-24,2024,10,Oct,Thursday,4,Product_314,Sports,2810.22,1415.01,36,Male,Kolkata,35-44,2.2,14051.1,0.0,14051.1,7075.05,6976.049999999998,49.65,No Discount,0,0,0,1,35,Medium
1014,201,318,1,10,2024-04-08,2024,4,Apr,Monday,2,Product_318,Books,1447.39,773.39,56,Female,Mumbai,45+,0.7,1447.39,144.739,1302.651,773.39,529.2610000000001,40.63,10%,0,0,0,0,0,Low
1015,203,312,5,15,2024-09-19,2024,9,Sep,Thursday,3,Product_312,Home & Kitchen,1732.47,906.62,32,Female,Chennai,25-34,0.2,8662.35,1299.3525,7362.9975,4533.1,2829.8975,38.43,15%,0,0,0,0,0,Low
